product_id,category,subcategory,brand,color,pattern,material,season,gender,size_available,original_price,discount_percent,current_price,units_sold,rating,num_reviews,wishlist_adds,page_views,launch_date,last_restock,in_stock,return_rate,trend_score
PROD10016,Tops,Tank Top,Mango,Grey,Floral,Silk,All Season,Men,One Size,47.56,0,47.56,17,5.0,18,30,162,2022-09-12 00:55:12.276023000,2023-02-25 00:55:12.276023000,True,7.1,57.9
PROD10017,Dresses,Midi Dress,Uniqlo,Red,Solid,Synthetic,Spring,Unisex,XS-3XL,51.06,20,40.85,7,4.2,113,11,79,2022-02-02 06:24:52.324360363,2022-04-02 06:24:52.324360363,True,5.1,54.4
PROD10018,Bottoms,Trousers,Gap,White,Solid,Silk,Fall,Women,S-L,61.46,0,61.46,13,5.0,3,51,185,2023-09-17 11:11:56.159679968,2024-03-06 11:11:56.159679968,False,6.8,51.0
PROD10019,Bottoms,Shorts,Zara,Beige,Solid,Polyester,Winter,Women,S-L,57.18,0,57.18,16,4.3,2,14,1011,2023-05-10 22:36:28.382365192,2023-08-22 22:36:28.382365192,True,26.1,41.7
PROD10020,Outerwear,Jacket,Forever21,Black,Solid,Linen,Summer,Unisex,One Size,88.45,0,88.45,6,4.7,66,35,223,2022-09-30 15:20:50.204183680,2022-10-24 15:20:50.204183680,True,3.9,50.3
PROD10021,Bags,Backpack,Forever21,Blue,Solid,Silk,Spring,Women,One Size,69.83,0,69.83,1,4.2,2,36,110,2022-09-15 10:55:00.875072920,2022-12-25 10:55:00.875072920,True,17.1,27.6
PROD10022,Shoes,Heels,Zara,Black,Solid,Polyester,Winter,Women,One Size,74.56,0,74.56,11,4.8,1,13,270,2023-04-13 14:37:59.589965832,2023-05-01 14:37:59.589965832,True,10.3,36.0
PROD10023,Outerwear,Cardigan,Uniqlo,Grey,Solid,Cotton,Fall,Women,XS-3XL,170.31,0,170.31,11,5.0,2,7,220,2022-06-04 12:04:44.423701974,2022-07-20 12:04:44.423701974,True,14.1,36.2
PROD10024,Shoes,Flats,Mango,Brown,Animal Print,Linen,Spring,Women,One Size,110.76,10,99.68,7,5.0,6,25,255,2023-02-25 05:36:37.683140264,2023-07-29 05:36:37.683140264,True,33.1,20.5
PROD10025,Tops,T-Shirt,Uniqlo,Grey,Solid,Leather,Winter,Men,36-44,29.38,10,26.44,31,3.9,3,14,57,2024-05-22 15:48:47.943995328,2024-05-31 15:48:47.943995328,True,4.9,74.0
PROD10026,Tops,Sweater,Zara,Green,Solid,Cotton,Spring,Women,One Size,45.69,0,45.69,23,2.8,28,6,73,2023-07-10 10:51:46.458871568,2023-12-11 10:51:46.458871568,False,5.0,34.9
PROD10027,Tops,Blouse,Gap,White,Solid,Cotton,Summer,Men,XS-XL,41.68,0,41.68,56,5.0,39,35,98,2023-10-17 23:42:14.311192600,2023-12-09 23:42:14.311192600,True,14.7,58.3
PROD10028,Tops,Blouse,H&M,Blue,Plaid,Cotton,Summer,Women,XS-XL,32.02,20,25.62,5,2.8,27,161,76,2023-03-18 02:42:08.010667552,2023-05-13 02:42:08.010667552,True,9.1,55.3
PROD10029,Outerwear,Blazer,Topshop,White,Solid,Cotton,All Season,Women,S-L,119.14,0,119.14,19,4.6,28,27,237,2022-08-21 07:47:04.735394616,2023-02-06 07:47:04.735394616,True,5.2,54.9
PROD10030,Dresses,Cocktail Dress,ASOS,Black,Plaid,Silk,Summer,Women,XS-XL,97.34,10,87.61,24,4.4,0,11,208,2022-07-04 10:00:24.602050170,2022-07-23 10:00:24.602050170,True,13.6,46.5
PROD10031,Bottoms,Trousers,Primark,Pink,Solid,Polyester,Winter,Women,36-44,39.81,0,39.81,38,3.8,11,23,143,2023-11-23 03:02:53.714476208,2024-02-20 03:02:53.714476208,True,11.3,68.4
PROD10032,Bottoms,Trousers,Zara,Black,Solid,Silk,Fall,Men,XS-3XL,73.04,10,65.74,20,4.2,1,107,7,2022-05-12 02:51:22.456871406,2022-09-17 02:51:22.456871406,False,5.2,51.9
PROD10033,Bottoms,Skirt,Gap,Grey,Animal Print,Cotton,All Season,Women,XS-XL,57.72,10,51.95,2,3.5,14,24,239,2024-01-25 01:36:43.683640304,2024-01-30 01:36:43.683640304,False,12.2,26.7
PROD10034,Bottoms,Shorts,Topshop,White,Solid,Polyester,Winter,Women,One Size,49.95,20,39.96,16,3.4,24,54,107,2023-10-18 17:55:31.777648136,2023-12-30 17:55:31.777648136,False,11.5,39.4
PROD10035,Tops,T-Shirt,ASOS,White,Polka Dot,Cotton,All Season,Men,XS-XL,45.61,40,27.37,15,3.7,33,6,397,2023-07-01 04:33:37.368114008,2023-11-23 04:33:37.368114008,True,5.9,48.5
PROD10036,Bottoms,Leggings,ASOS,Black,Solid,Polyester,All Season,Unisex,One Size,39.79,0,39.79,13,3.6,13,30,466,2022-04-05 05:17:25.587132261,2022-09-15 05:17:25.587132261,True,34.5,39.8
PROD10037,Bags,Shoulder Bag,Topshop,Blue,Solid,Leather,Winter,Unisex,One Size,94.14,0,94.14,54,5.0,10,54,30,2022-01-01 09:06:38.733227768,2022-01-26 09:06:38.733227768,True,26.5,52.2
PROD10038,Accessories,Hat,Gap,White,Floral,Denim,Winter,Women,One Size,27.61,0,27.61,22,4.6,69,14,1660,2023-11-12 04:39:30.197516456,2024-01-31 04:39:30.197516456,True,8.2,46.3
PROD10039,Bottoms,Skirt,H&M,Grey,Floral,Synthetic,Spring,Men,XS-XL,35.46,30,24.82,6,5.0,12,8,283,2023-08-11 15:27:19.036586384,2024-01-19 15:27:19.036586384,False,16.7,51.5
PROD10040,Outerwear,Cardigan,Topshop,Beige,Solid,Cotton,Spring,Men,XS-3XL,93.98,0,93.98,19,3.5,89,3,37,2023-04-08 23:28:55.044587048,2023-04-17 23:28:55.044587048,True,15.7,44.2
PROD10041,Dresses,Mini Dress,Topshop,Green,Solid,Cotton,Summer,Women,XS-XL,95.33,20,76.26,7,4.7,4,7,17,2022-04-26 16:57:33.887823984,2022-05-14 16:57:33.887823984,True,23.7,25.1
PROD10042,Tops,Blouse,Forever21,Beige,Plaid,Denim,Winter,Men,36-44,17.16,0,17.16,151,3.9,49,82,441,2023-11-27 10:54:39.273272768,2023-12-28 10:54:39.273272768,True,19.7,69.9
PROD10043,Bottoms,Jeans,Other,Pink,Striped,Cotton,All Season,Women,S-L,35.26,10,31.73,27,3.6,39,60,1113,2023-08-12 07:51:16.756396368,2023-12-22 07:51:16.756396368,True,0.3,52.0
PROD10044,Bags,Backpack,Mango,Green,Animal Print,Denim,Summer,Women,One Size,124.37,50,62.18,25,3.8,23,12,237,2024-01-01 07:16:42.983581960,2024-04-21 07:16:42.983581960,True,12.3,44.4
PROD10045,Tops,Shirt,ASOS,Blue,Solid,Synthetic,Fall,Unisex,XS-3XL,42.05,40,25.23,54,3.7,18,1,105,2023-03-16 19:43:32.317693136,2023-04-30 19:43:32.317693136,True,7.7,60.4
PROD10046,Bottoms,Jeans,Zara,White,Striped,Leather,All Season,Women,XS-3XL,49.79,30,34.85,20,4.1,21,34,344,2023-11-04 07:09:16.546378864,2023-12-01 07:09:16.546378864,True,5.3,61.7
PROD10047,Accessories,Belt,H&M,Pink,Abstract,Synthetic,All Season,Men,XS-XL,24.15,20,19.32,340,4.8,3,32,7,2023-10-26 13:36:25.682140176,2024-02-10 13:36:25.682140176,True,3.1,42.6
PROD10048,Bottoms,Leggings,Primark,Multi,Striped,Silk,Spring,Women,XS-XL,27.21,0,27.21,79,4.1,2,38,137,2023-11-27 12:43:59.019918328,2024-01-10 12:43:59.019918328,True,19.9,35.7
PROD10049,Outerwear,Cardigan,Gap,Beige,Solid,Wool,Winter,Men,One Size,90.78,0,90.78,15,4.0,30,19,205,2022-10-03 23:31:19.056588048,2022-11-29 23:31:19.056588048,True,20.7,49.7
PROD10050,Dresses,Maxi Dress,H&M,White,Plaid,Cotton,Summer,Men,S-L,72.27,0,72.27,83,3.9,1,169,598,2022-10-18 17:01:09.905825484,2022-12-17 17:01:09.905825484,True,12.1,72.4
PROD10051,Bags,Shoulder Bag,Forever21,Black,Solid,Cotton,Winter,Men,S-L,73.69,30,51.58,11,4.6,10,29,76,2023-10-19 23:04:47.723976992,2023-11-03 23:04:47.723976992,True,3.1,34.4
PROD10052,Outerwear,Vest,Gap,Black,Solid,Cotton,Summer,Women,XS-3XL,162.41,20,129.93,2,4.1,1,60,264,2022-05-20 16:45:33.827818984,2022-08-26 16:45:33.827818984,False,18.2,49.0
PROD10053,Bottoms,Shorts,ASOS,Black,Plaid,Wool,Summer,Men,XS-XL,54.51,0,54.51,5,3.9,73,35,23,2023-11-20 22:12:21.061755144,2024-04-11 22:12:21.061755144,True,1.8,28.0
PROD10054,Tops,T-Shirt,Zara,Navy,Abstract,Synthetic,All Season,Unisex,XS-XL,43.41,20,34.73,117,5.0,1,41,83,2022-11-23 00:19:12.096008000,2023-04-20 00:19:12.096008000,True,31.0,57.2
PROD10055,Tops,Tank Top,Primark,Green,Striped,Cotton,All Season,Women,XS-3XL,30.81,10,27.73,20,3.9,40,145,357,2023-09-09 11:52:22.761896824,2023-10-07 11:52:22.761896824,True,1.7,73.4
PROD10056,Bottoms,Leggings,ASOS,White,Abstract,Cotton,Summer,Women,XS-XL,47.87,30,33.51,13,5.0,15,7,209,2022-05-09 23:50:09.550795900,2022-05-25 23:50:09.550795900,True,28.9,29.9
PROD10057,Outerwear,Cardigan,Uniqlo,Red,Solid,Leather,All Season,Unisex,36-44,117.05,10,105.34,41,4.4,15,314,29,2023-05-21 02:46:34.432869408,2023-09-11 02:46:34.432869408,True,14.9,60.8
PROD10058,Bags,Tote,ASOS,Multi,Solid,Cotton,Winter,Women,36-44,86.66,20,69.33,0,3.9,1,25,201,2022-10-15 07:01:21.306775564,2023-02-05 07:01:21.306775564,True,24.2,28.2
PROD10059,Bottoms,Leggings,H&M,Multi,Solid,Synthetic,Spring,Women,XS-3XL,48.06,0,48.06,13,5.0,22,3,268,2022-12-29 23:42:28.712392700,2023-06-13 23:42:28.712392700,False,29.2,16.8
PROD10060,Outerwear,Vest,H&M,Black,Floral,Polyester,Summer,Women,One Size,128.35,0,128.35,24,4.3,18,42,98,2024-06-13 10:46:15.231269264,2024-10-11 10:46:15.231269264,True,14.8,48.5
PROD10061,Outerwear,Coat,Other,Multi,Floral,Denim,Summer,Men,XS-XL,103.65,20,82.92,15,4.1,9,154,182,2024-04-25 07:50:19.151595968,2024-06-13 07:50:19.151595968,True,5.3,65.6
PROD10062,Outerwear,Coat,Topshop,Black,Polka Dot,Leather,Fall,Men,S-L,107.14,0,107.14,7,3.9,9,42,248,2022-07-16 06:15:45.078756562,2022-11-22 06:15:45.078756562,True,12.7,53.7
PROD10063,Outerwear,Jacket,Uniqlo,Pink,Solid,Linen,Summer,Unisex,36-44,130.74,10,117.67,50,4.1,1905,153,257,2024-06-23 00:21:43.308609040,2024-08-25 00:21:43.308609040,True,4.2,78.1
PROD10064,Bags,Clutch,Forever21,Beige,Abstract,Synthetic,Fall,Women,XS-3XL,68.29,50,34.15,1,4.8,1,435,132,2024-05-22 15:48:47.943995328,2024-07-23 15:48:47.943995328,True,19.6,51.2
PROD10065,Dresses,Midi Dress,Mango,Multi,Abstract,Polyester,Winter,Women,XS-XL,86.26,0,86.26,21,3.8,5,81,869,2023-07-29 17:41:22.106842232,2023-08-02 17:41:22.106842232,True,10.0,43.5
PROD10066,Shoes,Sneakers,Uniqlo,Blue,Solid,Synthetic,Summer,Women,36-44,96.8,10,87.12,203,4.0,246,20,33,2022-04-18 17:38:00.490040836,2022-07-29 17:38:00.490040836,True,12.9,59.7
PROD10067,Tops,T-Shirt,Uniqlo,Grey,Solid,Polyester,All Season,Women,S-L,31.75,30,22.22,58,5.0,21,18,197,2023-03-31 02:17:24.687057256,2023-04-24 02:17:24.687057256,True,6.1,57.6
PROD10068,Tops,Tank Top,Topshop,Grey,Plaid,Cotton,Spring,Men,XS-3XL,52.89,20,42.31,50,5.0,16,29,127,2023-11-08 11:22:22.611884320,2024-03-29 11:22:22.611884320,False,19.5,51.0
PROD10069,Bottoms,Shorts,Zara,Blue,Solid,Denim,Winter,Women,XS-3XL,52.19,10,46.97,27,4.2,30,136,46,2022-01-31 16:08:57.644803733,2022-04-15 16:08:57.644803733,True,11.7,47.2
PROD10070,Dresses,Mini Dress,Zara,White,Solid,Polyester,Winter,Unisex,36-44,105.0,0,105.0,4,4.4,51,90,2560,2024-03-08 17:20:58.004833736,2024-04-27 17:20:58.004833736,True,3.7,54.7
PROD10071,Bags,Crossbody,Gap,Blue,Floral,Polyester,Spring,Men,XS-3XL,98.31,30,68.82,27,5.0,9,62,138,2023-11-28 14:14:35.472956080,2024-05-21 14:14:35.472956080,False,15.2,46.9
PROD10072,Outerwear,Jacket,Primark,Pink,Polka Dot,Wool,Summer,Men,S-L,50.83,0,50.83,32,2.8,9,156,85,2023-10-08 06:28:06.740561712,2023-12-02 06:28:06.740561712,True,23.2,36.9
PROD10073,Shoes,Flats,Gap,Beige,Striped,Silk,Fall,Women,36-44,79.05,0,79.05,8,4.6,103,69,168,2022-05-04 23:34:26.272189348,2022-06-03 23:34:26.272189348,True,9.0,40.5
PROD10074,Dresses,Midi Dress,ASOS,Green,Striped,Polyester,All Season,Men,S-L,64.77,10,58.29,9,4.7,11,88,30,2022-03-17 09:23:48.419034919,2022-08-13 09:23:48.419034919,True,14.3,66.1
PROD10075,Outerwear,Cardigan,Gap,White,Solid,Cotton,All Season,Women,XS-XL,124.22,0,124.22,8,4.5,13,101,12,2023-10-29 12:40:15.801316776,2024-02-07 12:40:15.801316776,True,21.1,44.0
PROD10076,Bottoms,Shorts,Other,Navy,Plaid,Synthetic,Summer,Unisex,S-L,43.74,10,39.37,35,4.5,0,35,653,2023-03-09 23:43:55.119593296,2023-08-15 23:43:55.119593296,True,9.3,42.8
PROD10077,Dresses,Cocktail Dress,H&M,Black,Solid,Cotton,Summer,Men,One Size,55.34,10,49.81,90,3.8,9,39,2023,2022-12-11 16:34:09.770814232,2022-12-24 16:34:09.770814232,True,18.8,69.2
PROD10078,Dresses,Casual Dress,ASOS,White,Solid,Cotton,Winter,Men,One Size,51.96,10,46.76,12,5.0,27,25,36,2024-03-31 13:49:01.745145424,2024-05-06 13:49:01.745145424,True,39.2,32.8
PROD10079,Outerwear,Cardigan,Mango,Black,Floral,Wool,Summer,Women,S-L,212.29,20,169.83,64,4.1,57,34,35,2024-04-05 17:43:24.517043088,2024-05-06 17:43:24.517043088,True,7.3,65.2
PROD10080,Tops,Blouse,Topshop,Green,Floral,Synthetic,All Season,Women,XS-XL,52.02,50,26.01,5,3.7,5,46,31,2024-01-26 03:07:20.136678056,2024-05-15 03:07:20.136678056,True,15.1,49.2
PROD10081,Outerwear,Blazer,Primark,Black,Solid,Polyester,Fall,Men,XS-XL,93.04,0,93.04,210,4.3,9,48,206,2022-06-19 12:51:54.259521626,2022-08-27 12:51:54.259521626,True,14.7,57.9
PROD10082,Bottoms,Skirt,Mango,Blue,Solid,Cotton,Summer,Women,S-L,74.98,0,74.98,4,4.7,15,79,509,2023-04-11 17:04:45.923826984,2023-05-23 17:04:45.923826984,True,16.7,53.3
PROD10083,Tops,Sweater,ASOS,Red,Solid,Cotton,All Season,Women,XS-XL,33.4,40,20.04,13,4.2,0,14,53,2023-05-15 17:24:12.421035088,2023-10-13 17:24:12.421035088,True,23.7,42.4
PROD10084,Accessories,Scarf,ASOS,Black,Solid,Silk,Fall,Men,One Size,25.16,0,25.16,109,4.4,3,21,216,2022-01-05 13:19:44.798733227,2022-03-06 13:19:44.798733227,True,24.8,48.0
PROD10085,Bags,Clutch,Zara,Multi,Solid,Polyester,All Season,Women,S-L,116.95,40,70.17,3,4.0,128,14,44,2023-08-26 10:46:29.632469368,2023-11-17 10:46:29.632469368,True,11.5,33.0
PROD10086,Tops,Shirt,ASOS,Beige,Solid,Leather,All Season,Unisex,36-44,27.52,0,27.52,118,4.4,95,6,273,2023-04-10 08:16:50.484207016,2023-05-21 08:16:50.484207016,True,8.0,66.8
PROD10087,Dresses,Midi Dress,Other,Navy,Solid,Linen,Winter,Men,36-44,66.17,40,39.7,34,4.6,138,60,28,2024-06-16 17:07:24.337028080,2024-09-17 17:07:24.337028080,True,12.3,59.5
PROD10088,Tops,Tank Top,H&M,Green,Animal Print,Denim,Spring,Women,S-L,27.83,20,22.26,15,3.3,674,41,1012,2022-01-07 14:31:37.958163180,2022-02-24 14:31:37.958163180,True,12.1,65.6
PROD10089,Tops,Blouse,Mango,Multi,Solid,Cotton,All Season,Women,One Size,62.51,0,62.51,8,4.4,5,17,142,2024-03-17 03:36:29.882490208,2024-05-13 03:36:29.882490208,True,18.5,33.9
PROD10090,Shoes,Heels,H&M,Black,Polka Dot,Polyester,Summer,Unisex,One Size,101.86,40,61.12,16,4.6,0,137,87,2022-07-12 22:05:16.226352196,2022-10-28 22:05:16.226352196,False,11.6,40.6
PROD10091,Accessories,Hat,Other,Navy,Animal Print,Leather,Spring,Women,XS-3XL,19.68,40,11.81,36,3.8,21,29,103,2024-01-25 03:26:03.430285856,2024-04-02 03:26:03.430285856,True,5.0,61.1
PROD10092,Tops,Tank Top,Gap,Pink,Striped,Polyester,Summer,Women,36-44,25.73,10,23.16,7,4.7,4,33,143,2023-10-25 17:33:48.469039088,2024-04-19 17:33:48.469039088,True,30.0,29.8
PROD10093,Shoes,Heels,Gap,White,Plaid,Cotton,Summer,Women,One Size,113.8,20,91.04,90,3.5,1,77,76,2023-08-11 22:44:38.023168592,2023-09-13 22:44:38.023168592,True,20.8,43.5
PROD10094,Outerwear,Cardigan,Zara,Black,Solid,Polyester,All Season,Unisex,XS-3XL,163.1,10,146.79,3,3.2,64,31,24,2024-04-01 04:23:39.718309856,2024-04-21 04:23:39.718309856,True,18.3,35.3
PROD10095,Outerwear,Cardigan,Uniqlo,Green,Solid,Polyester,Summer,Women,36-44,168.03,40,100.82,98,4.7,3,11,177,2023-04-27 04:47:54.239519960,2023-05-12 04:47:54.239519960,True,10.1,49.9
PROD10096,Dresses,Casual Dress,Topshop,Black,Solid,Polyester,Summer,Men,One Size,53.73,0,53.73,124,4.3,55,35,341,2022-04-19 15:29:57.449787482,2022-06-01 15:29:57.449787482,True,0.8,56.3
PROD10097,Tops,Sweater,Topshop,Pink,Floral,Cotton,Spring,Men,S-L,54.63,10,49.17,19,4.0,1,18,137,2023-08-10 06:39:23.596966408,2023-12-19 06:39:23.596966408,True,2.1,66.1
PROD10098,Tops,Tank Top,Topshop,Pink,Solid,Polyester,Winter,Unisex,One Size,46.02,20,36.82,31,4.2,22,3,100,2023-07-07 09:58:36.593049416,2023-07-10 09:58:36.593049416,False,5.6,36.0
PROD10099,Tops,Shirt,Zara,Pink,Abstract,Linen,Winter,Men,S-L,61.09,0,61.09,187,4.0,12,80,68,2022-08-07 21:15:49.579131592,2022-09-10 21:15:49.579131592,False,24.7,67.7
PROD10100,Bottoms,Jeans,Zara,Beige,Solid,Leather,Fall,Women,XS-XL,50.39,0,50.39,12,5.0,71,38,33,2022-01-25 10:43:58.419868322,2022-06-02 10:43:58.419868322,False,11.7,53.1
PROD10101,Outerwear,Jacket,Zara,Green,Solid,Leather,Fall,Women,XS-3XL,183.73,20,146.98,114,4.7,11,124,1717,2022-03-18 20:01:03.605300441,2022-03-31 20:01:03.605300441,True,7.5,64.9
PROD10102,Dresses,Maxi Dress,H&M,Black,Floral,Cotton,All Season,Women,One Size,40.96,0,40.96,46,4.9,9,29,45,2023-01-19 22:37:18.786565544,2023-03-07 22:37:18.786565544,True,15.5,54.4
PROD10103,Dresses,Midi Dress,H&M,Beige,Abstract,Leather,All Season,Women,XS-3XL,56.04,0,56.04,1,5.0,210,99,246,2023-02-14 21:47:52.139344944,2023-04-05 21:47:52.139344944,True,22.1,31.9
PROD10104,Tops,Sweater,Topshop,Black,Solid,Leather,Winter,Men,S-L,35.85,10,32.26,20,3.1,25,220,49,2024-04-21 05:26:32.832736064,2024-09-02 05:26:32.832736064,True,16.6,49.7
PROD10105,Outerwear,Coat,Topshop,Red,Abstract,Polyester,Summer,Women,XS-3XL,129.15,0,129.15,27,4.0,57,93,34,2022-11-03 10:12:17.461455120,2023-03-16 10:12:17.461455120,True,18.4,50.8
PROD10106,Bags,Clutch,H&M,White,Solid,Silk,Summer,Women,One Size,81.08,0,81.08,18,3.1,3,52,101,2022-07-15 15:41:07.105592132,2022-08-01 15:41:07.105592132,True,11.8,52.6
PROD10107,Bottoms,Shorts,Topshop,Black,Abstract,Cotton,All Season,Men,36-44,80.05,0,80.05,5,5.0,1,111,100,2024-04-01 04:23:39.718309856,2024-05-14 04:23:39.718309856,False,16.6,53.1
PROD10108,Bags,Tote,Uniqlo,Navy,Solid,Cotton,Summer,Men,XS-3XL,91.35,0,91.35,32,4.5,6,16,710,2023-01-25 02:31:41.558463204,2023-06-23 02:31:41.558463204,True,10.0,65.2
PROD10109,Tops,Blouse,H&M,Black,Abstract,Synthetic,Summer,Women,XS-XL,39.57,10,35.61,19,3.8,11,51,273,2023-12-21 08:53:19.466622216,2024-01-01 08:53:19.466622216,True,17.5,46.5
PROD10110,Tops,T-Shirt,Uniqlo,Grey,Solid,Linen,All Season,Women,XS-XL,33.03,0,33.03,54,3.6,102,126,538,2023-10-01 14:07:09.035752976,2023-11-16 14:07:09.035752976,False,9.6,69.3
PROD10111,Tops,T-Shirt,Uniqlo,Red,Abstract,Polyester,Spring,Men,XS-3XL,27.37,20,21.9,50,2.8,37,28,255,2022-02-01 21:18:13.591132594,2022-07-04 21:18:13.591132594,True,7.0,57.9
PROD10112,Dresses,Cocktail Dress,Other,White,Solid,Cotton,All Season,Women,36-44,78.73,0,78.73,64,4.3,8,20,74,2022-12-26 20:59:59.099924992,2023-05-05 20:59:59.099924992,False,24.3,52.2
PROD10113,Bags,Shoulder Bag,Topshop,White,Animal Print,Synthetic,All Season,Men,One Size,92.88,10,83.59,6,4.2,0,53,353,2023-10-01 14:07:09.035752976,2023-10-05 14:07:09.035752976,False,17.3,34.6
PROD10114,Tops,Sweater,H&M,Black,Abstract,Leather,Fall,Men,XS-3XL,46.45,20,37.16,22,4.3,2,99,14,2023-06-06 05:04:20.721726808,2023-10-13 05:04:20.721726808,True,9.8,37.3
PROD10115,Bottoms,Shorts,Mango,Navy,Abstract,Cotton,Summer,Unisex,XS-3XL,72.35,0,72.35,83,4.4,2,15,955,2024-04-10 17:59:07.795649632,2024-10-01 17:59:07.795649632,False,4.3,64.7
PROD10116,Bottoms,Shorts,Mango,Green,Striped,Wool,Spring,Unisex,S-L,51.98,10,46.78,5,4.7,33,50,221,2022-04-17 10:39:24.797066422,2022-06-03 10:39:24.797066422,False,12.6,51.2
PROD10117,Bottoms,Skirt,Primark,Green,Polka Dot,Leather,All Season,Men,36-44,37.53,0,37.53,1,4.4,7,39,375,2022-03-11 11:16:08.180681723,2022-05-08 11:16:08.180681723,True,8.1,36.4
PROD10118,Dresses,Mini Dress,H&M,Beige,Animal Print,Denim,Spring,Men,One Size,76.64,0,76.64,60,5.0,15,6,301,2022-08-24 21:25:32.827735644,2023-01-02 21:25:32.827735644,True,11.9,35.3
PROD10119,Accessories,Jewelry,H&M,Black,Solid,Wool,Summer,Women,S-L,21.15,0,21.15,21,5.0,19,88,660,2023-02-09 06:57:30.887573964,2023-03-02 06:57:30.887573964,True,30.9,69.2
PROD10120,Bags,Shoulder Bag,Mango,Pink,Abstract,Cotton,All Season,Women,One Size,79.11,0,79.11,26,3.9,102,50,402,2022-12-30 06:59:47.698974912,2023-06-19 06:59:47.698974912,True,13.3,56.3
PROD10121,Tops,T-Shirt,Primark,White,Solid,Polyester,Fall,Women,XS-3XL,18.0,10,16.2,3,4.1,0,21,222,2022-09-30 17:10:09.950829236,2023-03-23 17:10:09.950829236,False,6.9,33.2
PROD10122,Tops,Blouse,H&M,Multi,Solid,Denim,Summer,Women,XS-3XL,37.15,0,37.15,179,4.8,68,21,60,2023-05-14 15:53:35.967997328,2023-07-17 15:53:35.967997328,True,3.2,66.0
